"as_of","location","target","target_end_date","observation"
2026-03-08,"NY","wk inc covid hosp",2022-07-30,2631
2026-03-08,"NY","wk inc covid hosp",2022-08-06,2514
2026-03-08,"NY","wk inc covid hosp",2022-08-13,2309
2026-03-08,"NY","wk inc covid hosp",2022-08-20,2303
2026-03-08,"NY","wk inc covid hosp",2022-08-27,2180
2026-03-08,"NY","wk inc covid hosp",2022-09-03,2047
2026-03-08,"NY","wk inc covid hosp",2022-09-10,1910
2026-03-08,"NY","wk inc covid hosp",2022-09-17,1940
2026-03-08,"NY","wk inc covid hosp",2022-09-24,2157
2026-03-08,"NY","wk inc covid hosp",2022-10-01,2313
2026-03-08,"NY","wk inc covid hosp",2022-10-08,2453
2026-03-08,"NY","wk inc covid hosp",2022-10-15,2586
2026-03-08,"NY","wk inc covid hosp",2022-10-22,2593
2026-03-08,"NY","wk inc covid hosp",2022-10-29,2618
2026-03-08,"NY","wk inc covid hosp",2022-11-05,2538
2026-03-08,"NY","wk inc covid hosp",2022-11-12,2439
2026-03-08,"NY","wk inc covid hosp",2022-11-19,2392
2026-03-08,"NY","wk inc covid hosp",2022-11-26,2463
2026-03-08,"NY","wk inc covid hosp",2022-12-03,2989
2026-03-08,"NY","wk inc covid hosp",2022-12-10,3189
2026-03-08,"NY","wk inc covid hosp",2022-12-17,3438
2026-03-08,"NY","wk inc covid hosp",2022-12-24,3604
2026-03-08,"NY","wk inc covid hosp",2022-12-31,3495
2026-03-08,"NY","wk inc covid hosp",2023-01-07,3763
2026-03-08,"NY","wk inc covid hosp",2023-01-14,3270
2026-03-08,"NY","wk inc covid hosp",2023-01-21,2654
2026-03-08,"NY","wk inc covid hosp",2023-01-28,2504
2026-03-08,"NY","wk inc covid hosp",2023-02-04,2247
2026-03-08,"NY","wk inc covid hosp",2023-02-11,1951
2026-03-08,"NY","wk inc covid hosp",2023-02-18,1934
2026-03-08,"NY","wk inc covid hosp",2023-02-25,1732
2026-03-08,"NY","wk inc covid hosp",2023-03-04,1549
2026-03-08,"NY","wk inc covid hosp",2023-03-11,1311
2026-03-08,"NY","wk inc covid hosp",2023-03-18,1146
2026-03-08,"NY","wk inc covid hosp",2023-03-25,1012
2026-03-08,"NY","wk inc covid hosp",2023-04-01,935
2026-03-08,"NY","wk inc covid hosp",2023-04-08,854
2026-03-08,"NY","wk inc covid hosp",2023-04-15,775
2026-03-08,"NY","wk inc covid hosp",2023-04-22,682
2026-03-08,"NY","wk inc covid hosp",2023-04-29,604
2026-03-08,"NY","wk inc covid hosp",2023-05-06,632
2026-03-08,"NY","wk inc covid hosp",2023-05-13,587
2026-03-08,"NY","wk inc covid hosp",2023-05-20,591
2026-03-08,"NY","wk inc covid hosp",2023-05-27,547
2026-03-08,"NY","wk inc covid hosp",2023-06-03,532
2026-03-08,"NY","wk inc covid hosp",2023-06-10,512
2026-03-08,"NY","wk inc covid hosp",2023-06-17,492
2026-03-08,"NY","wk inc covid hosp",2023-06-24,381
2026-03-08,"NY","wk inc covid hosp",2023-07-01,479
2026-03-08,"NY","wk inc covid hosp",2023-07-08,545
2026-03-08,"NY","wk inc covid hosp",2023-07-15,447
2026-03-08,"NY","wk inc covid hosp",2023-07-22,558
2026-03-08,"NY","wk inc covid hosp",2023-07-29,662
2026-03-08,"NY","wk inc covid hosp",2023-08-05,704
2026-03-08,"NY","wk inc covid hosp",2023-08-12,991
2026-03-08,"NY","wk inc covid hosp",2023-08-19,1124
2026-03-08,"NY","wk inc covid hosp",2023-08-26,1190
2026-03-08,"NY","wk inc covid hosp",2023-09-02,1377
2026-03-08,"NY","wk inc covid hosp",2023-09-09,1674
2026-03-08,"NY","wk inc covid hosp",2023-09-16,1706
2026-03-08,"NY","wk inc covid hosp",2023-09-23,1746
2026-03-08,"NY","wk inc covid hosp",2023-09-30,1918
2026-03-08,"NY","wk inc covid hosp",2023-10-07,1888
2026-03-08,"NY","wk inc covid hosp",2023-10-14,1600
2026-03-08,"NY","wk inc covid hosp",2023-10-21,1379
2026-03-08,"NY","wk inc covid hosp",2023-10-28,1300
2026-03-08,"NY","wk inc covid hosp",2023-11-04,1116
2026-03-08,"NY","wk inc covid hosp",2023-11-11,1163
2026-03-08,"NY","wk inc covid hosp",2023-11-18,1207
2026-03-08,"NY","wk inc covid hosp",2023-11-25,1499
2026-03-08,"NY","wk inc covid hosp",2023-12-02,1776
2026-03-08,"NY","wk inc covid hosp",2023-12-09,1839
2026-03-08,"NY","wk inc covid hosp",2023-12-16,2042
2026-03-08,"NY","wk inc covid hosp",2023-12-23,2625
2026-03-08,"NY","wk inc covid hosp",2023-12-30,3283
2026-03-08,"NY","wk inc covid hosp",2024-01-06,3672
2026-03-08,"NY","wk inc covid hosp",2024-01-13,3324
2026-03-08,"NY","wk inc covid hosp",2024-01-20,2770
2026-03-08,"NY","wk inc covid hosp",2024-01-27,2276
2026-03-08,"NY","wk inc covid hosp",2024-02-03,1919
2026-03-08,"NY","wk inc covid hosp",2024-02-10,1786
2026-03-08,"NY","wk inc covid hosp",2024-02-17,1503
2026-03-08,"NY","wk inc covid hosp",2024-02-24,1267
2026-03-08,"NY","wk inc covid hosp",2024-03-02,1104
2026-03-08,"NY","wk inc covid hosp",2024-03-09,882
2026-03-08,"NY","wk inc covid hosp",2024-03-16,693
2026-03-08,"NY","wk inc covid hosp",2024-03-23,637
2026-03-08,"NY","wk inc covid hosp",2024-03-30,533
2026-03-08,"NY","wk inc covid hosp",2024-04-06,546
2026-03-08,"NY","wk inc covid hosp",2024-04-13,525
2026-03-08,"NY","wk inc covid hosp",2024-04-20,443
2026-03-08,"NY","wk inc covid hosp",2024-04-27,425
2026-03-08,"NY","wk inc covid hosp",2024-05-04,330
2026-03-08,"NY","wk inc covid hosp",2024-05-11,230
2026-03-08,"NY","wk inc covid hosp",2024-05-18,242
2026-03-08,"NY","wk inc covid hosp",2024-05-25,265
2026-03-08,"NY","wk inc covid hosp",2024-06-01,227
2026-03-08,"NY","wk inc covid hosp",2024-06-08,216
2026-03-08,"NY","wk inc covid hosp",2024-06-15,184
2026-03-08,"NY","wk inc covid hosp",2024-06-22,222
2026-03-08,"NY","wk inc covid hosp",2024-06-29,213
2026-03-08,"NY","wk inc covid hosp",2024-07-06,267
2026-03-08,"NY","wk inc covid hosp",2024-07-13,276
2026-03-08,"NY","wk inc covid hosp",2024-07-20,276
2026-03-08,"NY","wk inc covid hosp",2024-07-27,323
2026-03-08,"NY","wk inc covid hosp",2024-08-03,372
2026-03-08,"NY","wk inc covid hosp",2024-08-10,336
2026-03-08,"NY","wk inc covid hosp",2024-08-17,339
2026-03-08,"NY","wk inc covid hosp",2024-08-24,297
2026-03-08,"NY","wk inc covid hosp",2024-08-31,301
2026-03-08,"NY","wk inc covid hosp",2024-09-07,285
2026-03-08,"NY","wk inc covid hosp",2024-09-14,265
2026-03-08,"NY","wk inc covid hosp",2024-09-21,269
2026-03-08,"NY","wk inc covid hosp",2024-09-28,247
2026-03-08,"NY","wk inc covid hosp",2024-10-05,228
2026-03-08,"NY","wk inc covid hosp",2024-10-12,60
2026-03-08,"NY","wk inc covid hosp",2024-10-19,126
2026-03-08,"NY","wk inc covid hosp",2024-10-26,103
2026-03-08,"NY","wk inc covid hosp",2024-11-02,232
2026-03-08,"NY","wk inc covid hosp",2024-11-09,423
2026-03-08,"NY","wk inc covid hosp",2024-11-16,389
2026-03-08,"NY","wk inc covid hosp",2024-11-23,409
2026-03-08,"NY","wk inc covid hosp",2024-11-30,382
2026-03-08,"NY","wk inc covid hosp",2024-12-07,480
2026-03-08,"NY","wk inc covid hosp",2024-12-14,506
2026-03-08,"NY","wk inc covid hosp",2024-12-21,632
2026-03-08,"NY","wk inc covid hosp",2024-12-28,721
2026-03-08,"NY","wk inc covid hosp",2025-01-04,1070
2026-03-08,"NY","wk inc covid hosp",2025-01-11,934
2026-03-08,"NY","wk inc covid hosp",2025-01-18,873
2026-03-08,"NY","wk inc covid hosp",2025-01-25,805
2026-03-08,"NY","wk inc covid hosp",2025-02-01,835
2026-03-08,"NY","wk inc covid hosp",2025-02-08,811
2026-03-08,"NY","wk inc covid hosp",2025-02-15,825
2026-03-08,"NY","wk inc covid hosp",2025-02-22,712
2026-03-08,"NY","wk inc covid hosp",2025-03-01,788
2026-03-08,"NY","wk inc covid hosp",2025-03-08,744
2026-03-08,"NY","wk inc covid hosp",2025-03-15,727
